Team,TotalPoints,Racers,Races
P1RE,8251095.928216773,38,59068
PR2W,4997737.257804877,48,35778
N8TE,4750547.035419947,41,34645
SSH,4556602.432514778,41,32680
NTPD1,4301153.610053738,49,30884
SPRME,4211243.943346955,40,29103
CAM0,3752173.4271243154,49,27596
PSR,3384340.8263671454,47,24670
BEEHVE,3132987.6307545123,48,23452
TCHR,3087207.9635039596,49,22542
CZBZ,3042015.837172541,46,21656
NCT,3020542.530735777,45,21914
FASZ,2827543.7064890456,27,20373
S0RC,2643114.052629221,46,18408
LXW,2093563.15674115,12,15087
4CU,1957172.5160758425,19,11356
RFTP,1950108.3560895014,45,16145
190IQ,1846263.3422375317,23,13423
ZTAGZ,1779056.8927926582,29,12194
LOVGOD,1690901.5929231802,39,11905
ERC,1629065.34874519,9,11407
DLX,1428012.4652743149,46,11474
PCMSG,1392625.202759961,8,7898
NTO,1254961.2648753505,48,9910
RZ,1229631.8284128688,29,9463
MEYBO,1181251.2439900874,17,8416
NHS,1146934.30036837,37,8953
B0MBA,1053766.402022818,38,6742
BRAVE,1025263.3340719349,32,7831
50I,1007340.972406977,36,7097
M1NE,1005913.549647572,11,6764
T0WER,970263.5164763244,24,6385
WPMWPM,965117.302723815,47,7534
LLJ4R,904452.9376597486,36,7387
F0J,899022.7344719575,34,6537
NTP444,892260.7123250538,41,7305
DIV1,875398.7049714753,29,6119
RI5E,864960.3967867632,43,6740
AMPX,828385.4855883786,34,6000
FAM3,758002.6836239966,35,5931
ZH,756768.4584909956,31,5334
ZSH,742292.1046169418,32,6150
RVNT,709964.0376196038,43,5962
TWO,694258.6649186533,21,4945
0PT,692632.7564144344,42,5885
OVCR,627661.0668602721,35,5202
SK4P,615481.2944806432,36,4841
SZM,562153.7602823944,38,4858
AL3,543014.6560215509,29,4131
SSNAKS,541917.5821416503,42,4439
LE4GUE,526404.4118056444,32,3939
TNGN,513956.36847734195,39,3808
HELIUM,510474.9716821882,48,4422
XWX,508273.7261364027,32,4132
TRUST,504895.862298332,27,4046
NS7,499470.4186637805,30,3903
NGREEN,472410.7344694889,37,3803
ESTER,455453.16080981324,33,3316
WTRMN,454104.1293158722,35,3475
ST0RM,404985.9122284653,16,3007
MED13L,391327.67404392385,22,2602
D4RKER,389741.5426996665,27,2812
ASPN,352571.5452341337,32,2875
LSH,349419.71396735014,23,2804
NTW,338861.38595259166,44,2590
W2V,330887.8277677561,16,2413
SAIL,329310.72675122146,19,2542
JTAU,328359.7456143223,32,2937
ZER0SE,320937.0430364593,30,2372
FERARI,315320.2320993638,28,2664
FUZHOU,312521.2092054259,37,2352
UNREST,307208.1327476417,12,2172
LTC,304401.44538801233,16,2056
AL0N3D,294714.6588413451,28,2258
DCPTCN,286993.2266969818,23,2335
PIGFLY,281489.2054564231,26,2131
RL1,272854.3918299933,25,1992
4EP,270934.6273179751,28,2376
HZE,269821.0971558829,21,1991
RIV4L,254569.7367752877,13,1868
SNTL,247339.04060419791,18,1774
VLN,235356.11297399303,29,2060
KBSM,226025.74064282057,25,1682
DUAL,223201.2331893707,14,1596
2VCTRY,216049.82882855303,9,1760
HONT,206310.58027898963,15,1403
CATPLT,189053.33880221916,27,1468
NTT,185245.80174682272,22,1460
T3X5,176400.32922891725,10,1279
KAPOK,171520.1987092857,20,1396
DOGGIS,167176.92943644742,24,1284
SER,166754.1902816384,16,1201
LOFH,163383.19734811058,8,1160
PR2WX,148847.56548802453,15,1390
TOTUF7,147734.26510147462,18,1226
FLAGZ,142428.70161344134,24,1184
GSGMWO,140488.79554175813,27,1167
KR0W,136491.6768503857,10,958
NTRS34,131678.23058772637,27,1095
VXL,131182.40336888633,12,1011
VTI,117414.95257106506,21,927
RL,114580.72575000503,18,913
EXOTIC,111132.2600271369,8,886
TALK,99678.31550251057,10,726
NI1TRO,98347.57717314338,15,693
NTM,80559.3840417532,16,547
BMW,77253.92649691805,8,574
SG1MAS,62026.101958783824,22,471
BAYLOR,60227.88125279114,21,535
FRLB,57808.69610251566,2,390
GLZ,47569.079747042415,9,349
TGNM,42528.394309284835,10,330
NT20,28369.35943325219,1,264
SPRINT,16437.93523263369,5,123
NT,15613.792454094804,6,110
EMZ,14047.363371875013,1,100
XS9,7342.672138846361,1,63
CYCV,3716.4897229669346,1,26
2S,867.8349937733501,0,6
VFU,407.9303861788618,0,3
PTB,0.0,0,0
